9635.194746275,96257,115801,8152
9635.261413068,96253,115804,8149
9635.328079861,96262,115920,8156
9635.394746543,96173,115687,8122
9635.461413244,96070,115177,8090
9635.528080037,96013,115267,8066
9635.594746775,95995,115421,8048
9635.661413531,96118,115567,8111
9635.728080324,96091,115546,8113
9635.794747118,96025,115517,8086
9635.861413818,96112,115627,8112
9635.928080612,96169,115799,8128
9635.994747349,96163,115881,8126
9636.061414162,96220,115956,8168
9636.128080862,96230,115974,8169
9636.194747693,96194,116039,8203
9636.261414375,96265,116134,8198
9636.328081169,96101,115416,8165
9636.394747981,95939,115319,8157
9636.461414812,96035,115533,8151
9636.528081605,96111,115659,8123
9636.59474838,96124,115714,8198
9636.661415211,96100,115681,8180
9636.728081949,96109,115692,8135
9636.794748761,96138,115861,8237
9636.861415591,96177,116024,8209
9636.928082422,96208,116001,8181
9636.994749252,96225,116091,8250
9637.061416028,96225,116189,8235
9637.128082729,96242,116124,8216
9637.194749449,96186,115853,8267
9637.261416224,96017,115517,8210
9637.328083055,96024,115539,8175
9637.394749756,96077,115839,8248
9637.461416438,96120,115980,8227
9637.528083158,96105,115730,8207
9637.594749933,96092,115876,8267
9637.661416727,96122,116015,8241
9637.728083484,96165,115972,8228
9637.794750278,96191,116204,8294
9637.861417053,96208,116260,8308
9637.928083828,96214,116160,8269
9637.99475053,96242,116324,8304
9638.061417213,96187,116010,8314
9638.128083895,96005,115545,8252
9638.194750615,96043,115820,8258
9638.261417317,96105,116015,8292
9638.328084092,96152,115984,8252
9638.394750812,96107,116000,8285
9638.461417532,96102,116011,8309
9638.528084308,96144,116034,8288
9638.594751028,96172,116249,8291
9638.661417711,96196,116329,8330
9638.728084468,96219,116276,8326
9638.794751206,96223,116390,8322
9638.861418,96220,116232,8343
9638.928084813,96017,115642,8325
9638.994751644,96015,115815,8274
9639.061418364,96074,115980,8310
9639.128085159,96137,116124,8347
9639.194751934,96138,116110,8323
9639.26141871,96100,116026,8326
9639.328085486,96124,116121,8364
9639.39475228,96158,116302,8330
9639.461419,96190,116345,8350
9639.528085795,96204,116491,8389
9639.594752608,96219,116553,8342
9639.661419291,96233,116508,8374
9639.728086122,96120,115977,8373
9639.794752805,95981,115800,8319
9639.861419544,95997,115844,8328
9639.928086338,96067,116125,8377
9639.99475317,96101,116177,8345
9640.061419853,96071,116022,8342
9640.128086611,96074,116086,8386
9640.194753331,96097,116175,8349
9640.261420052,96125,116194,8326
9640.328086772,96158,116403,8424
9640.394753548,96181,116429,8368
9640.46142025,96187,116406,8356
9640.528086989,96206,116539,8422
9640.59475371,96084,115977,8358
9640.661420449,95964,115747,8325
9640.728087262,96010,116024,8395
9640.794754075,96047,116214,8363
9640.861420888,96087,116163,8356
9640.92808759,96029,116110,8417
9640.994754329,96044,116165,8397
9641.061421124,96114,116225,8353
9641.128087863,96112,116358,8416
9641.194754565,96137,116449,8436
9641.261421305,96188,116435,8383
9641.328087988,96153,116525,8441
9641.39475482,96181,116612,8461
9641.461421522,96220,116218,8400
9641.528088206,95955,115780,8389
9641.594754945,95972,115926,8448
9641.661421648,96088,116063,8393
9641.728088331,96067,116212,8411
9641.794755089,96043,116143,8449
9641.861421828,96096,116078,8392
9641.928088605,96049,116251,8426
9641.994755289,96084,116400,8472
9642.061421972,96202,116463,8430
9642.128088786,96150,116635,8439
9642.194755544,96142,116687,8508
9642.261422284,96240,116648,8434
9642.328089116,96196,116800,8452
9642.394755911,96070,116201,8485
9642.461422706,96022,115859,8416
9642.528089427,95956,116132,8437
9642.594756111,96009,116337,8494
9642.661422887,96142,116194,8436
9642.728089645,95993,116048,8430
9642.794756403,96004,116124,8517
9642.861423106,96130,116137,8470
9642.928089827,96078,116339,8439
9642.994756585,96112,116447,8464
9643.061423343,96168,116397,8487
9643.128090139,96111,116460,8447
9643.194756916,96117,116556,8484
9643.261423729,96104,116027,8473
9643.328090506,95899,115937,8414
9643.394757283,95939,116272,8472
9643.461423986,96095,116369,8489
9643.528090689,96021,116342,8468
9643.594757521,96012,116204,8473
9643.661424279,96050,116193,8493
9643.728090982,96017,116372,8511
9643.794757796,96104,116536,8497
9643.861424536,96161,116624,8515
9643.928091368,96170,116785,8516
9643.994758126,96268,116829,8499
9644.061424866,96295,116785,8519
