77978,113012,6247
90038,112931,6235
89992,112792,6145
89967,112768,6132
89961,112719,6144
89978,112711,6099
89993,112727,6066
90020,112776,6094
90040,112884,6177
90068,112991,6148
90047,112811,6125
90053,112782,6155
90068,112676,6071
90075,112697,6074
90094,112785,6119
90129,112861,6133
90141,112892,6165
90165,112883,6183
90139,112729,6116
90125,112782,6167
90120,112740,6174
90135,112699,6112
90130,112766,6139
90158,112755,6168
90179,112764,6085
90170,112767,6174
90153,112629,6087
90168,112702,6107
90160,112749,6048
90183,112754,6096
90199,112762,6138
90223,112765,6092
90256,112794,6164
90217,112672,6052
90221,112565,6095
90216,112650,6028
90223,112636,6087
90254,112680,6030
90282,112716,6034
90308,112768,6056
90336,112847,6084
90317,112710,6044
90307,112614,6011
90303,112578,6013
90316,112571,6013
90329,112602,6016
90355,112577,6004
90385,112626,6005
90422,112650,5992
90446,112744,6036
90432,112660,6109
90421,112591,6019
90419,112560,5991
90425,112603,5991
90443,112581,5999
90465,112589,6054
90489,112712,6075
90519,112772,6033
90504,112720,6014
90489,112667,5985
90500,112671,5965
90498,112626,6001
90520,112648,6000
90547,112689,6018
90569,112711,6009
90596,112718,6015
90629,112755,6055
90609,112643,6015
90589,112612,5970
90592,112561,5930
90600,112625,5945
90618,112596,6006
90640,112637,6019
90674,112669,6028
90703,112777,6020
90720,112834,6045
90709,112730,6020
90694,112679,5996
90679,112647,5984
90680,112583,6011
90705,112639,6026
90713,112692,6010
90752,112763,5998
90777,112780,6082
90804,112848,6085
90795,112753,6043
90779,112693,6068
90783,112660,6065
90789,112657,6036
90810,112689,6019
90821,112709,6067
90848,112760,6071
90888,112837,6118
90858,112728,6075
90842,112678,6040
90841,112639,6023
90846,112632,6008
90868,112652,6030
90889,112698,6066
90921,112719,6071
90940,112813,6106
90979,112824,6112
90960,112749,6108
90938,112710,6073
90932,112664,6045
90935,112669,6063
90958,112680,6071
90984,112742,6071
91008,112809,6107
91036,112866,6138
91065,112930,6164
91063,112866,6173
91034,112756,6082
91038,112725,6052
91029,112751,6030
91043,112740,6055
91062,112813,6057
91080,112841,6079
91111,112907,6149
91097,112782,6102
91090,112866,6071
91080,112784,6127
91083,112742,6045
91097,112764,6047
91106,112769,6119
91141,112922,6106
91143,112869,6117
91112,112723,6079
91112,112693,6059
91108,112656,5998
91134,112758,6063
91144,112808,6044
91170,112820,6135
91192,112803,6112
91191,112740,6063
91164,112696,6049
91152,112642,6080
91134,112610,6001
91156,112603,6000
91164,112629,6033
91189,112687,6028
91206,112753,6100
91240,112862,6088
91274,112946,6125
91256,112815,6213
91224,112636,6115
91198,112666,6034
91218,112623,5994
91221,112663,6023
91236,112704,6036
91259,112678,6029
91297,112702,6078
91317,112878,6105
91291,112664,6039
91281,112718,6028
91272,112631,6025
91281,112638,5974
91305,112693,6029
91314,112730,6051
91346,112734,6049
91361,112819,6091
91333,112637,6084
91304,112534,6060
91307,112592,6007
91311,112572,6008
91322,112597,5960
91344,112696,6009
91362,112766,6067
91379,112802,6059
91415,112794,6043
91382,112629,6089
91359,112707,5997
91362,112633,5995
91355,112562,6004
91377,112581,5936
91391,112694,5995
91425,112741,6094
91452,112834,6045
91477,112837,6040
91461,112742,6104
91437,112779,6042
91430,112691,5988
91431,112638,5971
91447,112657,6043
91465,112802,6036
91480,112830,6022
91504,112793,6017
91488,112699,6019
91495,112791,5991
91500,112726,6059
91495,112721,6033
91517,112727,6002
91544,112868,6040
91565,112950,6090
91558,112855,6065
91534,112743,6005
91529,112722,6000
91528,112822,5979
91521,112821,6003
91536,112771,5998
91552,112766,6044
91575,112813,5992
91555,112817,6005
91521,112745,5962
91504,112692,5948
91498,112648,5947
91506,112615,5862
91513,112718,5919
91529,112765,5984
91549,112819,5981
91549,112806,6023
91514,112649,5881
91496,112629,5907
91485,112651,5859
91502,112654,5881
91512,112637,5901
91526,112671,5865
91552,112826,5925
91549,112794,6001
91527,112675,5907
91523,112564,5840
91530,112701,5819
91538,112661,5929
91552,112685,5904
91577,112675,5855
91588,112739,5906
91560,112666,5941
91546,112604,5841
91544,112585,5806
91546,112710,5824
91569,112728,5896
91599,112715,5901
91615,112748,5890
91634,112918,5917
91612,112726,5895
91594,112655,5839
91587,112713,5840
91599,112729,5893
91616,112768,5907
91640,112762,5909
91654,112923,5910
91688,112949,5948
91700,112912,5905
91670,112804,5940
91668,112877,5984
91658,112793,5913
91672,112784,5887
91694,112957,5911
91702,113001,5951
91726,112959,5928
91767,113082,6029
91733,113118,5996
91717,113024,5975
91728,112900,5990
91736,113099,5956
91749,113021,5996
91761,113137,6035
91771,113088,6070
91761,113046,5963
91755,113105,6004
91756,113183,5989
